title,content
Aegon Life iTerm plan helps you save tax & get cover for 100 yrs,"Aegon Life iTerm insurance plan helps you save tax on premiums paid for over a century. With iTerm insurance plan, you get a life cover till the age of 100 years and can also save up to ₹46,800 on taxes. It comes with critical illness rider, has simple claim process, is easy to renew and also has multiple payout options."
I'm no more an orphan: Woman finds 103-yr-old mom after 61-yr search,"An 81-year-old woman named Eileen Macken who grew up in a Dublin orphanage said she's not an orphan anymore after discovering her 103-year-old mother is alive after a 61-year-long search this month. She said she ""worked tirelessly"" with a genealogist to find her blood relatives. Macken spoke to her mother over the phone and plans to meet her soon."
Bulls**t: Krish on Kangana's claim of directing 70% of Manikarnika,"'Manikarnika: The Queen of Jhansi' co-director Krish, while speaking about Kangana Ranaut's claim that she directed 70% of the film, said, ""It's bulls**t."" ""In the first-half of Manikarnika, 20-25% film has been shot by Kangana, while in the second-half only 10% is shot by her,"" he claimed. Krish further said he is hurt by the controversy."
"Esha shares chat of friend calling footballer gorilla, apologises","Actress Esha Gupta has apologised on Twitter following criticism after she shared a screenshot of a chat with a friend, wherein the friend called Nigerian footballer Alexander Iwobi a gorilla. Esha had replied, ""Hahahahahah...I honestly dunno why they don't bench him more."" In her apology, she wrote, ""Was bad on my part, being a sports lover...Sorry guys forgive the stupidity."""
"Pandya takes flying catch, 2 wickets on return after suspension","All-rounder Hardik Pandya took a flying catch to dismiss New Zealand captain Kane Williamson on his return to Team India playing XI in the third ODI today. Williamson came down the track and flicked the ball near the midwicket, where Pandya flew to his left and plucked the catch. Pandya also registered bowling figures of 10-0-45-2 in the match."
"Congress wants 'defenestration' of PM, BJP: Shashi Tharoor","Senior Congress leader Shashi Tharoor on Monday said that his party wants 'defenestration' of Prime Minister Narendra Modi and the BJP. He added that the Congress will pull out all the ""stops"" before the 2019 general elections. Speaking on Priyanka Gandhi's induction as the Congress' general secretary, Tharoor said she has the charisma to galvanise voters."
Raj Thackeray's son Amit marries fashion designer Mitali Borude,"Maharashtra Navnirman Sena (MNS) president Raj Thackeray's son Amit Thackeray married his fiancée and fashion designer Mitali Borude in Mumbai on Sunday in a traditional Maharashtrian-style marriage ceremony. Their wedding festivities were attended by prominent politicians, Bollywood celebrities including Amitabh Bachchan and industrialists like Mukesh Ambani. The couple, who are childhood friends, had got engaged on December 11, 2017."
IAF Jaguar fighter plane crashes in UP's Kushinagar,"An Indian Air Force (IAF) Jaguar fighter plane on Monday crashed in Uttar Pradesh's Kushinagar. The fighter plane crashed in a non-residential area of Kushinagar and no casuality has been reported. The plane had taken off from the Gorakhpur Air Force base and was on a routine mission. The pilot of the plane ejected safely, IAF said in a statement."
"Families fight as bride refuses to cover head, cancel wedding in MP",The wedding of Varsha Sonawa and Vallabh Pancholi in Madhya Pradesh was cancelled after their families fought after the bride refused to cover her head. The groom's family objected to Varsha wearing an evening gown and insisted that she should wear saree. The groom took the entire baraat to the police station to lodge an FIR against the bride's family.
Woman fined ₹25 lakh for fake molestation case threat,"The Bombay High Court has imposed a fine of ₹25 lakh on a Haryana woman who allegedly threatened to file fake molestation case against the court receiver and representatives of a Mumbai-based company. The woman, an entrepreneur, had a fight with the company over trademark infringement. She later confessed to the court that she didn't exactly mean what she said."
